gestion,mes,dia,hora,estacion,longitud,latitud,altura,Precipitación,Temperatura,Humedad
2025,1,22,17:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,14.40,47.90
2025,1,22,17:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,14.50,48.60
2025,1,22,17:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,14.20,48.30
2025,1,22,18:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,14.00,50.80
2025,1,22,18:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,13.90,51.90
2025,1,22,18:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,13.70,52.80
2025,1,22,18:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,13.40,56.20
2025,1,22,19:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.90,57.20
2025,1,22,19:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.30,61.70
2025,1,22,19:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.30,61.70
2025,1,22,19:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.40,59.40
2025,1,22,20:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,13.10,53.40
2025,1,22,20:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,13.40,52.30
2025,1,22,20:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.10,59.10
2025,1,22,20:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.10,64.60
2025,1,22,21:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.10,65.70
2025,1,22,21:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.60,66.90
2025,1,22,21:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.00,72.90
2025,1,22,21:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.80,75.40
2025,1,22,22:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.70,78.00
2025,1,22,22:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.00,85.20
2025,1,22,22:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.60,7.90,86.10
2025,1,22,22:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,7.70,88.10
2025,1,22,23:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.60,7.30,87.40
2025,1,22,23:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.80,6.80,87.50
2025,1,22,23:30,Chacala (INIAF),-66.862679,-20.177535,3816,1.20,6.80,87.50
2025,1,22,23:45,Chacala (INIAF),-66.862679,-20.177535,3816,1.20,6.50,89.80
2025,1,23,0:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.80,6.20,89.10
2025,1,23,0:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.40,6.20,89.40
2025,1,23,0:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.60,5.50,89.00
2025,1,23,0:45,Chacala (INIAF),-66.862679,-20.177535,3816,1.00,5.50,90.20
2025,1,23,1:0,Chacala (INIAF),-66.862679,-20.177535,3816,1.20,5.40,90.40
2025,1,23,10:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.00,70.60
2025,1,23,10:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.30,70.20
2025,1,23,10:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.50,66.60
2025,1,23,10:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.90,63.60
2025,1,23,11:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,13.40,65.00
2025,1,23,11:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,13.20,62.30
2025,1,23,11:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,13.50,56.80
2025,1,23,11:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,14.20,55.90
2025,1,23,1:15,Chacala (INIAF),-66.862679,-20.177535,3816,1.00,5.20,91.80
2025,1,23,12:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,15.10,58.90
2025,1,23,12:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,14.60,51.90
2025,1,23,12:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,15.30,52.00
2025,1,23,12:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,15.40,62.60
2025,1,23,1:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.60,5.50,92.70
2025,1,23,13:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,15.50,61.10
2025,1,23,13:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,15.80,53.10
2025,1,23,13:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,14.90,58.70
2025,1,23,13:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.00,64.60
2025,1,23,14:0,Chacala (INIAF),-66.862679,-20.177535,3816,2.80,8.50,81.90
2025,1,23,14:15,Chacala (INIAF),-66.862679,-20.177535,3816,2.20,8.00,84.20
2025,1,23,14:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.40,8.90,87.60
2025,1,23,14:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.10,82.20
2025,1,23,1:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.40,5.40,90.10
2025,1,23,15:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.20,9.30,83.30
2025,1,23,15:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.20,84.20
2025,1,23,15:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.70,82.80
2025,1,23,15:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.10,86.60
2025,1,23,16:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.30,82.20
2025,1,23,16:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,11.10,80.30
2025,1,23,16:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,12.00,71.90
2025,1,23,16:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,11.90,70.10
2025,1,23,17:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,11.70,68.20
2025,1,23,17:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.30,68.40
2025,1,23,17:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.50,74.90
2025,1,23,17:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.70,75.90
2025,1,23,18:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.10,72.80
2025,1,23,18:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.10,72.00
2025,1,23,18:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.30,69.80
2025,1,23,18:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.30,70.90
2025,1,23,19:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.30,65.70
2025,1,23,19:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.20,68.50
2025,1,23,19:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.50,76.50
2025,1,23,19:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.70,75.00
2025,1,23,2:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,5.80,89.10
2025,1,23,20:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.40,76.60
2025,1,23,20:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.40,75.30
2025,1,23,20:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.00,69.60
2025,1,23,20:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.50,77.30
2025,1,23,21:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.10,80.20
2025,1,23,21:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.60,83.80
2025,1,23,21:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.20,79.10
2025,1,23,21:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.20,68.50
2025,1,23,2:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.20,86.10
2025,1,23,22:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.30,73.70
2025,1,23,22:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.80,76.40
2025,1,23,22:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.50,79.50
2025,1,23,22:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.30,80.90
2025,1,23,2:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.20,6.40,83.30
2025,1,23,23:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.50,79.70
2025,1,23,23:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.10,81.90
2025,1,23,23:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.00,84.00
2025,1,23,23:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,7.50,85.90
2025,1,23,2:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.60,82.80
2025,1,23,3:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,7.30,79.10
2025,1,23,3:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,7.40,78.70
2025,1,23,3:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,7.40,80.40
2025,1,23,3:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,7.10,82.10
2025,1,23,4:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,7.20,81.00
2025,1,23,4:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.90,81.80
2025,1,23,4:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.50,85.20
2025,1,23,4:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.60,85.10
2025,1,23,5:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.40,86.20
2025,1,23,5:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.40,86.00
2025,1,23,5:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.00,88.90
2025,1,23,5:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.00,89.60
2025,1,23,6:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,5.70,92.60
2025,1,23,6:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,5.20,94.00
2025,1,23,6:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,5.50,93.20
2025,1,23,6:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.10,92.90
2025,1,23,7:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,6.60,91.10
2025,1,23,7:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,7.40,88.10
2025,1,23,7:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,7.70,86.70
2025,1,23,7:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.30,83.80
2025,1,23,8:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,8.80,80.50
2025,1,23,8:15,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.00,80.90
2025,1,23,8:30,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.00,82.40
2025,1,23,8:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.90,78.30
2025,1,23,9:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.30,77.40
2025,1,30,14:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.40,61.60
2025,1,30,14:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.50,54.00
2025,1,30,14:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.30,62.10
2025,1,30,15:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.70,75.20
2025,1,30,15:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,1.00,8.90,80.70
2025,1,30,15:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.20,9.40,84.50
2025,1,30,15:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.70,83.00
2025,1,30,16:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.80,86.20
2025,1,30,16:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.80,83.00
2025,1,30,16:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.00,81.90
2025,1,30,16:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.00,80.90
2025,1,30,17:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.20,10.60,82.20
2025,1,30,17:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.30,80.40
2025,1,30,17:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.40,76.90
2025,1,30,17:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.40,76.40
2025,1,30,18:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.50,75.50
2025,1,30,18:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.60,74.30
2025,1,30,18:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.70,71.00
2025,1,30,18:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.40,72.30
2025,1,30,19:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.00,74.90
2025,1,30,19:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.70,73.90
2025,1,30,19:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.50,76.00
2025,1,30,19:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.90,77.40
2025,1,30,20:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.50,80.00
2025,1,30,20:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.30,80.50
2025,1,30,20:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.30,75.50
2025,1,30,20:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.00,76.70
2025,1,30,21:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.00,76.70
2025,1,30,21:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,77.30
2025,1,30,21:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.40,70.60
2025,1,30,21:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,72.30
2025,1,30,22:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.10,73.20
2025,1,30,22:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,76.50
2025,1,30,22:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.70,78.30
2025,1,30,22:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.00,74.50
2025,1,30,23:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,76.70
2025,1,30,23:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.90,75.50
2025,1,30,23:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.60,78.20
2025,1,30,23:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.60,77.60
2025,1,31,0:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.30,79.20
2025,1,31,0:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,72.70
2025,1,31,0:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,75.70
2025,1,31,0:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,75.00
2025,1,31,1:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.70,75.00
2025,1,31,10:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,81.00
2025,1,31,10:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.90,81.00
2025,1,31,10:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.40,80.90
2025,1,31,10:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.70,79.30
2025,1,31,11:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.90,82.40
2025,1,31,11:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,88.10
2025,1,31,11:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.60,81.60
2025,1,31,11:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.80,81.10
2025,1,31,1:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,74.10
2025,1,31,12:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.40,78.60
2025,1,31,12:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.40,76.70
2025,1,31,12:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.70,73.70
2025,1,31,12:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.90,66.90
2025,1,31,1:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,74.70
2025,1,31,13:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,12.60,72.10
